Product Name,Price,Rating
Lenovo IdeaTab,$69.99,0
IdeaTab A3500L,$88.99,0
Acer Iconia,$96.99,0
Galaxy Tab 3,$97.99,0
Iconia B1-730H...,$99.99,0
Memo Pad HD 7,$101.99,0
Asus MeMO Pad,$102.99,0
Amazon Kindle,$103.99,0
Galaxy Tab 3,$107.99,0
IdeaTab A8-50,$121.99,0
MeMO Pad 7,$130.99,0
IdeaTab A3500-...,$148.99,0
IdeaTab S5000,$172.99,0
Galaxy Tab 4,$233.99,0
Galaxy Tab,$251.99,0
MeMo PAD FHD 1...,$320.99,0
Galaxy Note,$399.99,0
Galaxy Note,$489.99,0
iPad Mini Reti...,$537.99,0
Galaxy Note 10...,$587.99,0
Apple iPad Air,$603.99,0
